repo,run_id,generated_at,framework,label,mode,used_critic,overall_score,core_overall_score,total_duration_seconds,input_tokens,output_tokens,total_tokens,n_questions,n_core_questions,n_variation_questions,summary
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Critic Off,Multi-Agent Critic Off,multi_agent,False,40.0,97.14285714285714,29.135,21376,1976,23352,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, environment configurations, routes, static resource management, and user input handling. This limits its ability to address questions requiring deeper insights into the repository's code and functionality."
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Critic On,Multi-Agent Critic On,multi_agent,True,55.29,97.14285714285714,54.601,31101,3745,34846,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and the role of the Node.js server as an orchestrator. However, it lacks critical details about specific implementation aspects, such as the database schema, routes, static resource management, and user input handling, which are described in the repository-grounded answers. The diagram is most effective at illustrating the system's structure but falls short in representing finer-grained implementation details."
MovieHub,20260421_010119_debug_compare,2026-04-21 01:05:11,Single Shot,Single Shot,single_prompt,False,50.59,91.42857142857143,8.273,2973,503,3476,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as database schema alignment, route definitions, environment handling, and user input validation. While it aligns well with the repository-grounded answers for general architecture questions, it falls short on more detailed or specific questions."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Critic Off,Multi-Agent Critic Off,multi_agent,False,64.71,97.14285714285714,28.529,21298,1797,23095,17,7,10,"The diagram captures the high-level architecture and runtime boundaries of the system well, including the main subsystems, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as file-level roles, route-specific functionality, templating, and environment-specific configurations. This results in lower scores for questions requiring detailed or file-specific insights."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Critic On,Multi-Agent Critic On,multi_agent,True,76.47,97.14285714285714,55.847,32566,4233,36799,17,7,10,"The diagram captures the high-level architecture and interactions of the system well, including the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the integration mechanism between the Node.js server and the PostgreSQL database, environment-specific configurations, and the structure of AJAX interactions. Additionally, it does not address specific routes like `review_info` or provide details about the EJS views."
MovieHub,20260421_010556_debug_compare,2026-04-21 01:09:49,Single Shot,Single Shot,single_prompt,False,55.29,88.57142857142857,9.24,2973,508,3481,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the integration between the Express server and PostgreSQL, the use of the `ejs` templating engine, and environment-specific configurations. While it aligns well with some questions, it fails to address others, particularly those requiring detailed explanations of specific routes, data flows, or separation of concerns."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,26.001,21521,1861,23382,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, environment configurations, static resource management, and user-submitted reviews. While the diagram effectively captures the separation of concerns and the integration with the OMDB API, it omits critical details about the repository's internal files and their roles."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Critic On,Multi-Agent Critic On,multi_agent,True,65.88,97.14285714285714,54.768,30815,3717,34532,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as database schema interactions, route definitions, static resource management, and dependencies. While it aligns well with the repository answers for general architecture and subsystem relationships, it falls short in addressing finer-grained details about the application's functionality and configuration."
MovieHub,20260421_011027_debug_compare,2026-04-21 01:14:18,Single Shot,Single Shot,single_prompt,False,58.82,94.28571428571428,8.224,2973,510,3483,17,7,10,"The diagram captures the high-level architecture and data flows of the system, including the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific implementation aspects, such as database schema relationships, environment configurations, static resource management, and user-submitted reviews. While the diagram aligns well with the repository-grounded answers for general architecture, it omits critical details about specific files and their roles in the system."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,27.287,21377,1856,23233,17,7,10,"The diagram captures the high-level architecture and main data/control flows of the system well, including the subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific components like `db_script.sql`, EJS templates, and client-side JavaScript. Additionally, it omits critical aspects such as error handling mechanisms and environment differentiation."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Critic On,Multi-Agent Critic On,multi_agent,True,68.24,97.14285714285714,45.024,30852,3593,34445,17,7,10,"The diagram captures the high-level architecture and interactions between the main subsystems, including the Web UI, Node.js server, Movie Database, and OMDB API. However, it lacks details about specific implementation aspects, such as the `db_script.sql` file, EJS templates, and error handling mechanisms. While the diagram aligns well with the repository-grounded answers for general architecture and data flows, it omits critical details about development/production differentiation, database structure, and specific file roles like `server.js`."
MovieHub,20260421_011531_debug_compare,2026-04-21 01:19:13,Single Shot,Single Shot,single_prompt,False,62.35,97.14285714285714,7.91,2973,558,3531,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and data/control flows. However, it lacks details about specific components such as the `db_script.sql` file, EJS templates, and environment differentiation. While the diagram captures the general architecture, it omits critical implementation details described in the repository."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Critic Off,Multi-Agent Critic Off,multi_agent,False,65.88,97.14285714285714,23.962,21285,1681,22966,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, the use of EJS templates, and the differentiation between development and production environments. While the diagram aligns well with the repository answers for general architectural components, it omits critical details about specific files and their roles in the system."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Critic On,Multi-Agent Critic On,multi_agent,True,68.24,97.14285714285714,50.043,30081,3262,33343,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, and client-side JavaScript interactions. While the diagram aligns well with the repository answers for general architecture, it misses critical details about specific files and their roles in the system."
MovieHub,20260421_011938_debug_compare,2026-04-21 01:23:18,Single Shot,Single Shot,single_prompt,False,62.35,91.42857142857143,8.903,2973,518,3491,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific components like the `db_script.sql` file, EJS templates, and `my_scripts.js`, as well as environment differentiation and database schema alignment. While the diagram captures the general structure and interactions, it omits several key details provided in the repository answers."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Critic Off,Multi-Agent Critic Off,multi_agent,False,54.12,91.42857142857143,25.482,21516,1970,23486,17,7,10,"The diagram captures the high-level architecture and data flows of the system, including the main subsystems and their interactions. However, it omits critical details about specific files, such as `resources/js/my_scripts.js`, the database schema, and runtime configurations. Additionally, it lacks information about user-submitted reviews, views rendered by the server, and dependencies, leading to lower scores for several questions."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Critic On,Multi-Agent Critic On,multi_agent,True,63.53,97.14285714285714,50.818,30609,3515,34124,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and external integrations. However, it lacks detail on specific implementation aspects, such as database schema relationships, runtime configurations, static resource handling, and user-submitted reviews. While it aligns well with the repository-grounded answers for general architecture and data flows, it falls short in addressing finer-grained details and specific file roles."
MovieHub,20260421_012329_debug_compare,2026-04-21 01:27:14,Single Shot,Single Shot,single_prompt,False,52.94,97.14285714285714,8.053,2973,564,3537,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and integration with the OMDb API. However, it lacks detail on specific implementation aspects, such as database schema relationships, runtime configurations, user-submitted reviews, and static resource handling."
MovieHub,20260421_012720_debug_compare,2026-04-21 01:31:09,Critic Off,Multi-Agent Critic Off,multi_agent,False,60.0,97.14285714285714,26.489,21367,1728,23095,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the role of files like `db_script.sql` and `my_scripts.js`, environment-specific configurations, and the use of EJS templates. While the diagram aligns well with the repository-grounded answers for general architecture questions, it falls short on questions requiring detailed implementation knowledge."
MovieHub,20260421_012720_debug_compare,2026-04-21 01:31:09,Critic On,Multi-Agent Critic On,multi_agent,True,52.94,97.14285714285714,50.592,30430,3660,34090,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, client-side JavaScript, and environment-specific configurations. These omissions result in lower scores for questions requiring detailed or specific information."
MovieHub,20260421_012720_debug_compare,2026-04-21 01:31:09,Single Shot,Single Shot,single_prompt,False,52.94,94.28571428571428,7.757,2973,511,3484,17,7,10,"The diagram captures the high-level architecture and main subsystems of the repository, including the frontend, backend, database, and external API. However, it lacks detail on specific implementation aspects, such as the role of `db_script.sql`, EJS templates, environment-specific configurations, and the flow of data between client-side JavaScript and the database. The diagram provides a good overview but misses critical details necessary for a complete understanding of the system."
MovieHub,20260421_101041_debug_compare,2026-04-21 10:14:06,Critic Off,Multi-Agent Critic Off,multi_agent,False,58.82,94.28571428571428,22.733,21380,1733,23113,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the database schema, `server.js` file, `resources/js/my_scripts.js`, and environment differentiation. While the diagram aligns well with general architectural elements, it omits critical details necessary for a complete understanding of the repository's functionality."
MovieHub,20260421_101041_debug_compare,2026-04-21 10:14:06,Critic On,Multi-Agent Critic On,multi_agent,True,72.94,97.14285714285714,52.398,31414,4131,35545,17,7,10,"The diagram captures the high-level architecture and main subsystems of the repository well, including the Node.js server, OMDB API, and database. However, it lacks detail on specific implementation aspects, such as the database schema, client-side JavaScript, and handling of user input, which are critical to fully understanding the system's functionality."
MovieHub,20260421_101041_debug_compare,2026-04-21 10:14:06,Single Shot,Single Shot,single_prompt,False,56.47,91.42857142857143,9.845,2973,519,3492,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and some data flows. However, it lacks critical details about specific components, such as `resources/js/my_scripts.js`, `db_script.sql`, and `ejs`, as well as key processes like handling user input, serving static resources, and differentiating between environments. While the diagram aligns well with some repository-grounded answers, it omits or oversimplifies many important aspects, leading to lower scores for several questions."
MovieHub,20260421_101424_debug_compare,2026-04-21 10:17:46,Critic Off,Multi-Agent Critic Off,multi_agent,False,58.82,97.14285714285714,22.36,21355,1758,23113,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and the role of the Node.js Server as the orchestrator. However, it lacks details about specific implementation aspects, such as the database schema, environment configurations, EJS templates, frontend JavaScript, static resource management, and dependencies, which are critical to understanding the repository's functionality."
MovieHub,20260421_101424_debug_compare,2026-04-21 10:17:46,Critic On,Multi-Agent Critic On,multi_agent,True,58.82,97.14285714285714,42.732,30461,3395,33856,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, data flows, and the role of the Node.js server as the orchestrator. However, it lacks detail on specific implementation aspects, such as the database schema, environment-specific configurations, EJS templates, frontend JavaScript, and static resource management. These omissions result in lower scores for questions requiring detailed or specific information."
MovieHub,20260421_101424_debug_compare,2026-04-21 10:17:46,Single Shot,Single Shot,single_prompt,False,63.53,94.28571428571428,9.973,2973,519,3492,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the database schema, environment configurations, EJS templates, and static resource management. While the diagram aligns well with the repository answers for general architecture, it falls short in addressing finer-grained details."
MovieHub,20260421_102245_debug_compare,2026-04-21 10:26:16,Critic Off,Multi-Agent Critic Off,multi_agent,False,70.59,97.14285714285714,21.915,21380,1737,23117,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the integration between the Express server and PostgreSQL database, the role of specific files like `server.js` and `my_scripts.js`, and the use of EJS templates. While the diagram aligns well with the repository's general structure, it omits critical details necessary for a complete understanding of the system's functionality."
MovieHub,20260421_102245_debug_compare,2026-04-21 10:26:16,Critic On,Multi-Agent Critic On,multi_agent,True,88.24,97.14285714285714,48.889,31346,3944,35290,17,7,10,"The diagram captures the high-level architecture and data flows of the system, including the main subsystems, runtime boundaries, and interactions with external systems like the OMDB API. However, it omits some implementation-specific details, such as the use of `pg-promise`, the structure of EJS templates, and the specific roles of `server.js` and `my_scripts.js`. Overall, the diagram provides a strong overview but lacks some precision in capturing finer details of the repository."
MovieHub,20260421_102245_debug_compare,2026-04-21 10:26:16,Single Shot,Single Shot,single_prompt,False,64.71,91.42857142857143,9.328,2973,511,3484,17,7,10,"The diagram provides a high-level overview of the system's architecture, including its main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the use of `pg-promise`, the role of `my_scripts.js`, the structure and usage of EJS templates, and the handling of database connection configurations. While the diagram aligns well with the repository answers for general architectural elements, it falls short in capturing finer details and specific functionalities."
MovieHub,20260421_102848_debug_compare,2026-04-21 10:32:18,Critic Off,Multi-Agent Critic Off,multi_agent,False,64.71,94.28571428571428,21.609,21297,1648,22945,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the database schema, environment-specific configurations, and the role of certain files like `resources/js/my_scripts.js` and `server.js`. While the diagram aligns well with the repository answers for general architecture and data flow, it misses critical details about specific functionalities and interactions."
MovieHub,20260421_102848_debug_compare,2026-04-21 10:32:18,Critic On,Multi-Agent Critic On,multi_agent,True,67.06,94.28571428571428,44.422,29914,3400,33314,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the database schema, the role of `resources/js/my_scripts.js`, and the handling of user input. While the diagram aligns well with the repository's architecture in general, it misses critical details about the integration of user reviews and the use of the `ejs` templating engine."
MovieHub,20260421_102848_debug_compare,2026-04-21 10:32:18,Single Shot,Single Shot,single_prompt,False,57.65,91.42857142857143,9.053,2973,523,3496,17,7,10,"The diagram provides a high-level overview of the system's architecture, including the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the database schema, environment configurations, and the handling of user input. While it aligns well with the repository-grounded answers for general architecture, it falls short in capturing finer details about the system's functionality and interactions."
MovieHub,20260421_103656_debug_compare,2026-04-21 10:40:08,Critic Off,Multi-Agent Critic Off,multi_agent,False,56.47,97.14285714285714,20.946,21314,1689,23003,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data/control flows. However, it lacks detail on specific implementation aspects, such as database schema, runtime interactions, environment-specific configurations, and the role of specific files like `server.js` and `resources/js/my_scripts.js`."
MovieHub,20260421_103656_debug_compare,2026-04-21 10:40:08,Critic On,Multi-Agent Critic On,multi_agent,True,55.29,97.14285714285714,43.274,30364,3538,33902,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as database schema, runtime interactions, environment-specific configurations, and the role of front-end JavaScript. While the diagram aligns well with the repository-grounded answers for general architecture, it falls short in addressing detailed questions about specific files and their roles."
MovieHub,20260421_103656_debug_compare,2026-04-21 10:40:08,Single Shot,Single Shot,single_prompt,False,56.47,91.42857142857143,7.314,2973,511,3484,17,7,10,"The diagram provides a high-level overview of the system, accurately identifying the main subsystems, runtime boundaries, and external integrations. However, it lacks detail on specific components like `resources/js/my_scripts.js`, `db_script.sql`, and environment-specific configurations. Additionally, it does not capture the flow of data between the Backend and Frontend or the coordination between the Express framework, EJS, and the database."
MovieHub,20260421_104535_debug_compare,2026-04-21 10:49:05,Critic Off,Multi-Agent Critic Off,multi_agent,False,58.82,97.14285714285714,22.814,21352,1695,23047,17,7,10,"The diagram provides a high-level overview of the system's architecture, accurately capturing the main subsystems, runtime boundaries, and data flows. However, it lacks detail on specific implementation aspects, such as the role of `my_scripts.js`, the database schema, and environment-specific configurations, which are described in the repository answers."
